"","X","Actual_Popularity","rmse","Lasso_regression","Ridge_regression","Single_tree","Pruned_tree","Boosting","Bagging500","Bagging1000","Bagging1500","Bagging2000","RF500"
"570",570,46,21.1793020262566,24.4450480841579,24.1416783670219,30.4461193072482,30.4461193072482,23.1400972018384,23.8446,23.7436333333333,23.7879333333333,23.8183583333333,23.1585142857143
"571",571,67,34.6313639266005,31.580430690043,32.2674701657539,24.7066795740561,24.7066795740561,32.0119727901722,35.6437238095238,36.19335,35.8685555555555,35.6869916666666,34.3243666666667
"572",572,34,4.40520092232301,25.962256400263,25.9460431521766,30.4461193072482,30.4461193072482,30.3703742886595,31.0513714285714,31.39525,31.2522111111112,31.0799916666667,31.660019047619
"573",573,27,2.42105260073944,29.4276944883948,29.3604242960373,30.4461193072482,30.4461193072482,29.3265662950561,23.5834,24.9891333333333,25.2262142857142,25.4672273809524,26.466219047619
"574",574,28,9.03084307167775,17.3870841377855,17.0073656380073,19.1567877629063,19.1567877629063,19.2545101120285,19.4927333333333,19.5120833333333,19.4619222222222,19.4595,19.7805333333333
"575",575,41,14.291315734455,27.6447086137275,27.3196734564834,24.7066795740561,24.7066795740561,25.3167565996385,26.8697,27.431,27.3827,27.2581416666667,28.4563333333334
"576",576,5,5.25696904107897,1.11606278993016,1.29209078843449,14.2463768115942,14.2463768115942,11.1943581610258,7.53776666666667,8.27533333333333,8.18840000000001,7.98255833333334,9.54676666666667
"577",577,36,13.2732407433168,25.5603985663442,25.571405348919,24.7066795740561,24.7066795740561,20.7551138393418,20.4062333333333,21.6670333333333,21.4410666666667,21.4128555555556,23.8917
"578",578,68,35.5604661727693,27.8558423292555,28.0491495214605,24.7066795740561,24.7066795740561,33.7585407894243,37.0982,36.98285,37.2911888888889,37.375575,35.6648333333333
"579",579,10,11.7108960020883,24.0383410518237,23.6984613957287,15.9303079416532,15.9303079416532,22.609413746174,23.1916333333333,22.42945,22.3361777777778,22.44385,20.2053
"580",580,37,11.3612326043851,30.4492473169249,30.4230635234827,23.4872881355932,23.4872881355932,30.8969143531672,25.4223,24.1795388888889,24.6144703703704,24.5349277777778,24.012080952381
"581",581,34,14.8634239241531,17.7570451753111,17.9964267007024,19.1567877629063,19.1567877629063,19.2931183638925,19.3451333333333,19.5338,19.5028,19.5311,19.8455
"582",582,50,17.2911020596966,34.5827798301762,35.4172728929064,30.4461193072482,30.4461193072482,34.3801283984064,33.1575333333333,32.98795,32.6237777777778,32.36225,31.7633133333333
"583",583,61,31.3272469830316,30.2819266484912,30.2362762917094,30.4461193072482,30.4461193072482,29.89149861648,28.9682333333333,28.8175285714285,28.5466841269841,28.760644047619,31.38885
"584",584,16,8.95973605099197,27.127294948812,27.0124354958074,30.4461193072482,30.4461193072482,26.8030483800328,20.0585333333333,19.9246880952381,20.3682809523809,20.3551940476191,19.8699333333333
"585",585,43,7.97955609187651,32.8775464091009,33.5730473552221,30.4461193072482,30.4461193072482,35.6074351255635,39.1921666666667,38.6771904761905,38.3834380952381,38.1087369047619,36.9273333333333
"586",586,10,5.61897553374281,12.3566092894829,11.5756337780264,15.9303079416532,15.9303079416532,16.6751805965822,15.7066333333333,15.7199,16.2411222222222,16.4146916666667,16.1513666666667
"587",587,23,3.31467646592416,19.2632075212807,17.7994307924207,19.1567877629063,19.1567877629063,20.0524868243017,20.7311333333333,19.9935166666666,20.5362222222222,20.5977416666667,19.8660952380952
