"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"91","Shinhwa","State Of The Art (Special Edition)","You're My Everything","5zhw3Nhzyu3rK3dvNb0TnW",0.72,0.695,11,-4.752,1,0.0495,0.174,0,0.108,0.448,95.993,241920,4,3
"92","Shinhwa","State Of The Art (Special Edition)","Throw My Fist - Solid Groove Mix Version","0PUNjbVyjHkkD9l6zozi9x",0.742,0.916,4,-1.879,0,0.266,0.0309,0,0.322,0.666,104.034,228272,4,3
"93","Shinhwa","State Of The Art (Special Edition)","Midnight Girl - Pop Ballad Version","2HWCgkFRYnRdwGGqtOFadF",0.478,0.406,9,-6.91,1,0.0328,0.866,0,0.273,0.362,117.863,285402,4,4
"94","Shinhwa","State Of The Art","Thanks!","4hh31ArX5oNBZ2pZqzSG1E",0.799,0.927,4,-4.618,0,0.114,0.4,0,0.398,0.864,107.022,226760,4,5
"95","Shinhwa","State Of The Art","Your Man","2SoSgFbt0OOV8Q1VyRzjI2",0.685,0.817,11,-3.509,0,0.0679,0.0373,0,0.239,0.673,111.978,216347,4,7
"96","Shinhwa","State Of The Art","약한 남자","7GjGgIyWVob0YAr3Wgpbay",0.7,0.493,9,-5.297,0,0.0716,0.356,0,0.386,0.454,130.012,219013,4,5
"97","Shinhwa","State Of The Art","Once In A Lifetime","5GcTWYeRpMLBZ7I1zQWEeO",0.49,0.674,1,-4.564,1,0.0463,0.33,0,0.0998,0.26,74.904,287933,4,20
"98","Shinhwa","State Of The Art","Doobob","2oTuGqxL6ARHDIfIsQmitJ",0.683,0.886,1,-5.119,1,0.0404,0.0577,0,0.305,0.653,112.993,211813,4,7
"99","Shinhwa","State Of The Art","Paradise","3GJVggClvwT8jlRAgdEn6k",0.84,0.72,9,-2.804,1,0.0646,0.0905,0,0.0565,0.933,98.025,238267,4,2
"100","Shinhwa","State Of The Art","Highway Star","4ElzyT5hHPf6wPs5ey6KgM",0.809,0.967,0,-3.633,1,0.0672,0.0484,1.05e-06,0.111,0.871,129.992,226053,4,2
"101","Shinhwa","State Of The Art","Midnight Girl","0YUcCS6CHV64IXjVumqWIa",0.763,0.582,10,-6.346,1,0.0476,0.186,0,0.139,0.572,127.948,253147,4,5
"102","Shinhwa","State Of The Art","Throw My Fist","54wwRcfRfZ1MLo0jEreQtt",0.819,0.822,11,-3.084,0,0.181,0.0719,0,0.113,0.854,103.973,226520,4,7
"103","Shinhwa","State Of The Art","기회","0Q1T9YkWHoPXvghPnqZamB",0.78,0.591,0,-6.74,1,0.0691,0.338,0,0.0983,0.561,127.972,248533,4,5
"104","Shinhwa","State Of The Art","왜 내가...","4lO4TmISY0bqjsDLqvAV7P",0.489,0.44,6,-7.375,1,0.039,0.651,2.1e-06,0.128,0.173,66.265,258773,4,2
"105","Shinhwa","State Of The Art","You're My Everything","2TwdepuHB6yZ3lezEoCEDG",0.72,0.695,11,-4.752,1,0.0495,0.174,0,0.108,0.448,95.993,241920,4,5
"106","Shinhwa","Shinhwa 2005 Japan Tour Live","Shinhwa Prologue","6YwU2JBnNdQDiORhUgdlZt",0.441,0.852,9,-8.609,0,0.0785,0.000679,0.78,0.234,0.0382,120.01,100973,4,1
"107","Shinhwa","Shinhwa 2005 Japan Tour Live","Brand New","0mwcluqLPeilmPzc8S5lH3",0.585,0.966,8,-2.598,0,0.136,0.0748,0,0.769,0.486,103.013,226080,4,2
"108","Shinhwa","Shinhwa 2005 Japan Tour Live","Shooting Star","44coT5ytWYkWofLivfHFoE",0.742,0.926,2,-3.006,1,0.238,0.146,0,0.723,0.467,104.981,187027,4,1
"109","Shinhwa","Shinhwa 2005 Japan Tour Live","Hero","26iIn5da1rnZnAGc0DhN8C",0.658,0.954,1,-3.503,1,0.0965,0.0739,0,0.842,0.529,112.039,187893,4,3
"110","Shinhwa","Shinhwa 2005 Japan Tour Live","Free","48nWZiNuRjE3yKPofjpqZN",0.58,0.786,11,-5.326,1,0.0352,0.505,9.8e-06,0.531,0.412,128.06,362333,4,1
"111","Shinhwa","Shinhwa 2005 Japan Tour Live","Tsunami","14rJ9wbwLEQ3T8Ijt0eOyp",0.42,0.612,1,-5.668,1,0.0312,0.473,1.3e-05,0.841,0.193,87.725,361787,4,2
"112","Shinhwa","Shinhwa 2005 Japan Tour Live","How Do I Say","06VmQMGX6bjWJ3hk4Sfby6",0.688,0.857,11,-4.344,1,0.0425,0.137,0,0.897,0.727,109.995,253600,4,2
